"cd_nom","rang","nom_complet"
53789,"ES","Charaxes jasius (Linnaeus, 1767)"
53794,"ES","Melitaea didyma (Esper, 1778)"
53811,"ES","Melitaea phoebe (Denis & Schiffermüller, 1775)"
53817,"ES","Melitaea cinxia (Linnaeus, 1758)"
53821,"ES","Melitaea diamina (Lang, 1789)"
53851,"ES","Euphydryas intermedia (Ménétriès, 1859)"
53853,"SSES","Euphydryas intermedia wolfensbergeri (Frey, 1880)"
53856,"ES","Euphydryas maturna (Linnaeus, 1758)"
53859,"ES","Euphydryas cynthia (Denis & Schiffermüller, 1775)"
53865,"ES","Euphydryas aurinia (Rottemburg, 1775)"
53868,"SSES","Euphydryas aurinia aurinia (Rottemburg, 1775)"
53874,"ES","Euphydryas desfontainii (Godart, 1819)"
53878,"ES","Argynnis paphia (Linnaeus, 1758)"
53895,"ES","Fabriciana niobe (Linnaeus, 1758)"
53900,"ES","Fabriciana elisa (Godart, 1824)"
53902,"ES","Fabriciana adippe (Denis & Schiffermüller, 1775)"
53908,"ES","Issoria lathonia (Linnaeus, 1758)"
53911,"ES","Brenthis hecate (Denis & Schiffermüller, 1775)"
53915,"ES","Brenthis ino (Rottemburg, 1775)"
53918,"ES","Boloria pales (Denis & Schiffermüller, 1775)"
53923,"ES","Boloria napaea (Hoffmannsegg, 1804)"
53926,"ES","Boloria aquilonaris (Stichel, 1908)"
53928,"ES","Boloria graeca (Staudinger, 1870)"
53965,"ES","Libythea celtis (Laicharting, 1782)"
53969,"ES","Hamearis lucina (Linnaeus, 1758)"
53973,"ES","Lycaena phlaeas (Linnaeus, 1761)"
53976,"ES","Lycaena helle (Denis & Schiffermüller, 1775)"
53979,"ES","Lycaena dispar (Haworth, 1802)"
54021,"ES","Lampides boeticus (Linnaeus, 1767)"
54029,"ES","Cupido minimus (Fuessly, 1775)"
54031,"ES","Cupido osiris (Meigen, 1829)"
54047,"ES","Zizeeria knysna (Trimen, 1862)"
54052,"ES","Celastrina argiolus (Linnaeus, 1758)"
54055,"ES","Pseudophilotes baton (Bergsträsser, 1779)"
54057,"SSES","Pseudophilotes baton baton (Bergsträsser, 1779)"
54065,"ES","Scolitantides orion (Pallas, 1771)"
54075,"ES","Glaucopsyche alexis (Poda, 1761)"
54077,"ES","Glaucopsyche melanops (Boisduval, 1828)"
54105,"ES","Plebejus argus (Linnaeus, 1758)"
54126,"ES","Plebejus idas (Linnaeus, 1761)"
54170,"ES","Plebejus argyrognomon (Bergsträsser, 1779)"
54176,"ES","Aricia artaxerxes (Fabricius, 1793)"
54183,"ES","Aricia morronensis (Ribbe, 1910)"
54191,"ES","Eumedonia eumedon (Esper, 1780)"
54200,"ES","Agriades glandon (Prunner, 1798)"
54206,"ES","Agriades pyrenaicus (Boisduval, 1840)"
54208,"SSES","Agriades pyrenaicus pyrenaicus (Boisduval, 1840)"
54213,"ES","Cyaniris semiargus (Rottemburg, 1775)"
54265,"ES","Lysandra coridon (Poda, 1761)"
54267,"ES","Lysandra hispana (Herrich-Schäffer, 1852)"
54271,"ES","Lysandra bellargus (Rottemburg, 1775)"
54279,"ES","Polyommatus icarus (Rottemburg, 1775)"
54283,"ES","Polyommatus eros (Ochsenheimer, 1808)"
54307,"ES","Callophrys rubi (Linnaeus, 1758)"
54309,"ES","Callophrys avis Chapman, 1909"
54312,"ES","Tomares ballus (Fabricius, 1787)"
54319,"ES","Thecla betulae (Linnaeus, 1758)"
54322,"ES","Quercusia quercus (Linnaeus, 1758)"
54339,"ES","Aporia crataegi (Linnaeus, 1758)"
54342,"ES","Pieris brassicae (Linnaeus, 1758)"
54362,"ES","Pontia daplidice (Linnaeus, 1758)"
54366,"ES","Pontia callidice (Hübner, 1800)"
54373,"ES","Catopsilia florella (Fabricius, 1775)"
54376,"ES","Leptidea sinapis (Linnaeus, 1758)"
54378,"ES","Leptidea duponcheli (Staudinger, 1871)"
54384,"ES","Colias hyale (Linnaeus, 1758)"
54397,"ES","Colias phicomone (Esper, 1780)"
54400,"ES","Colias palaeno (Linnaeus, 1761)"
54403,"SSES","Colias palaeno europome (Esper, 1778)"
54410,"ES","Colias myrmidone (Esper, 1781)"
54417,"ES","Gonepteryx rhamni (Linnaeus, 1758)"
54419,"ES","Gonepteryx cleopatra (Linnaeus, 1767)"
54433,"ES","Euchloe crameri Butler, 1869"
54437,"ES","Euchloe tagis (Hübner, 1804)"
54443,"ES","Euchloe belemia (Esper, 1800)"
54451,"ES","Anthocharis cardamines (Linnaeus, 1758)"
54468,"ES","Papilio machaon Linnaeus, 1758"
54472,"ES","Papilio alexanor Esper, 1800"
54475,"ES","Iphiclides podalirius (Linnaeus, 1758)"
54477,"SSES","Iphiclides podalirius podalirius (Linnaeus, 1758)"
54496,"ES","Parnassius apollo (Linnaeus, 1758)"
54499,"ES","Parnassius phoebus (Fabricius, 1793)"
54501,"SSES","Parnassius phoebus sacerdos Stichel, 1906"
185268,"FM","Hesperiidae Latreille, 1809"
185290,"FM","Lycaenidae Leach, 1815"
185291,"FM","Nymphalidae Rafinesque, 1815"
185292,"FM","Papilionidae Latreille, 1802"
185330,"FM","Zygaenidae Latreille, 1809"
188880,"GN","Aglais Dalman, 1816"
189241,"GN","Anthocharis Boisduval, Rambur, Dumesnil & Graslin, 1833"
189282,"GN","Apatura Fabricius, 1807"
189301,"GN","Aphantopus Wallengren, 1853"
189351,"GN","Aporia Hübner, 1819"
189391,"GN","Araschnia Hübner, 1819"
189427,"GN","Arethusana Lesse, 1951"
189440,"GN","Argynnis Fabricius, 1807"
189454,"GN","Aricia Reichenbach, 1817"
189691,"GN","Azanus Moore, 1881"
189943,"GN","Boloria Moore, 1900"
189957,"GN","Borbo Evans, 1949"
190043,"GN","Brenthis Hübner, 1819"
190053,"GN","Brintesia Fruhstorfer, 1911"
190218,"GN","Callophrys Billberg, 1820"
190338,"GN","Carcharodus Hübner, 1819"
190374,"GN","Carterocephalus Lederer, 1853"
190407,"GN","Catopsilia Hübner, 1819"
190428,"GN","Celastrina Tutt, 1906"
190645,"GN","Charaxes Ochsenheimer, 1816"
190659,"GN","Chazara Moore, 1893"
191014,"GN","Coenonympha Hübner, 1819"
191029,"GN","Colias Fabricius, 1807"
191047,"GN","Colotis Hübner, 1819"
191363,"GN","Cupido Schrank, 1801"
191541,"GN","Danaus Kluk, 1780"
192265,"GN","Erebia Dalman, 1816"
192330,"GN","Erynnis Schrank, 1801"
192364,"GN","Euchloe Hübner, 1819"
192422,"GN","Euphydryas Scudder, 1872"
192732,"GN","Gegenes Hübner, 1819"
192802,"GN","Glaucopsyche Scudder, 1872"
192888,"GN","Gonepteryx Leach, 1815"
193065,"GN","Hamearis Hübner, 1819"
193227,"GN","Hesperia Fabricius, 1793"
193257,"GN","Heteropterus Duméril, 1806"
193288,"GN","Hipparchia Fabricius, 1807"
193536,"GN","Hyponephele Muschamps, 1915"
193614,"GN","Iphiclides Hübner, 1819"
193654,"GN","Issoria Hübner, 1819"
193751,"GN","Kretania Beuret, 1959"
193792,"GN","Laeosopis Rambur, 1858"
193827,"GN","Lampides Hübner, 1819"
193871,"GN","Lasiommata Westwood, 1841"
193993,"GN","Leptidea Billberg, 1820"
194114,"GN","Libythea Fabricius, 1807"
194136,"GN","Limenitis Fabricius, 1807"
194283,"GN","Lopinga Moore, 1893"
194324,"GN","Lycaena Fabricius, 1807"
194357,"GN","Lysandra Hemming, 1933"
194449,"GN","Maniola Schrank, 1801"
194545,"GN","Melanargia Meigen, 1828"
194595,"GN","Melitaea Fabricius, 1807"
194794,"GN","Minois Hübner, 1819"
195183,"GN","Neptis Fabricius, 1807"
195306,"GN","Nymphalis Kluk, 1780"
195323,"GN","Ochlodes Scudder, 1872"
195387,"GN","Oeneis Hübner, 1819"
195740,"GN","Papilio Linnaeus, 1758"
195806,"GN","Pararge Hübner, 1819"
195855,"GN","Parnassius Latreille, 1804"
196270,"GN","Pieris Schrank, 1801"
196531,"GN","Polygonia Hübner, 1819"
196540,"GN","Polyommatus Latreille, 1804"
196572,"GN","Pontia Fabricius, 1807"
196798,"GN","Pseudophilotes Beuret, 1958"
196980,"GN","Pyrgus Hübner, 1819"
196988,"GN","Pyronia Hübner, 1819"
197007,"GN","Quercusia Verity, 1943"
197394,"GN","Satyrus Latreille, 1810"
197505,"GN","Scolitantides Hübner, 1819"
197845,"GN","Spialia Swinhoe, 1912"
198375,"GN","Thecla Fabricius, 1807"
198447,"GN","Thymelicus Hübner, 1819"
198487,"GN","Tomares Rambur, 1840"
198858,"GN","Vanessa Fabricius, 1807"
199134,"GN","Zerynthia Ochsenheimer, 1816"
199144,"GN","Zizeeria Chapman, 1910"
210742,"GN","Muschampia Tutt, 1906"
210743,"GN","Pelopidas Walker, 1870"
211196,"GN","Chilades Moore, 1881"
211197,"GN","Cacyreus Butler, 1898"
211198,"GN","Leptotes Scudder, 1876"
211205,"GN","Satyrium Scudder, 1876"
211208,"GN","Hypolimnas Hübner, 1819"
211687,"GN","Aglaope Latreille, 1809"
211688,"GN","Zygaena Fabricius, 1775"
211690,"GN","Rhagades Wallengren, 1863"
211691,"GN","Adscita Retzius, 1783"
211692,"GN","Theresimima Strand, 1917"
219740,"ES","Ochlodes sylvanus (Esper, 1777)"
219741,"ES","Thymelicus lineola (Ochsenheimer, 1808)"
219742,"ES","Thymelicus sylvestris (Poda, 1761)"
219743,"ES","Pyrgus carthami (Hübner, 1813)"
219744,"ES","Pyrgus malvoides (Elwes & Edwards, 1897)"
219746,"ES","Pyrgus warrenensis (Verity, 1928)"
219747,"ES","Muschampia proto (Ochsenheimer, 1808)"
219748,"ES","Spialia therapne (Rambur, 1832)"
219750,"ES","Lycaena virgaureae (Linnaeus, 1758)"
219751,"ES","Lycaena tityrus (Poda, 1761)"
219752,"ES","Lycaena alciphron (Rottemburg, 1775)"
219753,"ES","Lycaena hippothoe (Linnaeus, 1761)"
219755,"ES","Satyrium w-album (Knoch, 1782)"
219756,"ES","Satyrium pruni (Linnaeus, 1758)"
219757,"ES","Satyrium spini (Denis & Schiffermüller, 1775)"
219758,"ES","Satyrium ilicis (Esper, 1779)"
219759,"ES","Satyrium esculi (Hübner, 1804)"
219760,"ES","Satyrium acaciae (Fabricius, 1787)"
219762,"ES","Polyommatus escheri (Hübner, 1823)"
219763,"ES","Polyommatus dorylas (Denis & Schiffermüller, 1775)"
219764,"ES","Polyommatus amandus (Schneider, 1792)"
219765,"ES","Polyommatus thersites (Cantener, 1835)"
219766,"ES","Polyommatus daphnis (Denis & Schiffermüller, 1775)"
219771,"ES","Polyommatus ripartii (Freyer, 1830)"
219772,"ES","Polyommatus dolus (Hübner, 1823)"
219773,"ES","Polyommatus damon (Denis & Schiffermüller, 1775)"
219787,"ES","Glaucopsyche iolas (Ochsenheimer, 1816)"
219793,"ES","Cupido argiades (Pallas, 1771)"
219794,"ES","Cupido alcetas (Hoffmannsegg, 1804)"
219795,"ES","Leptotes pirithous (Linnaeus, 1767)"
219796,"ES","Cacyreus marshalli Butler, 1898"
219797,"ES","Lasiommata paramegaera (Hübner, 1824)"
219799,"ES","Aphantopus hyperantus (Linnaeus, 1758)"
219801,"ES","Erebia aethiopellus (Hoffmannsegg, 1806)"
219802,"ES","Erebia arvernensis Oberthür, 1908"
219804,"ES","Erebia sthennyo Graslin, 1850"
219805,"ES","Melanargia lachesis (Hübner, 1790)"
219806,"ES","Hipparchia statilinus (Hufnagel, 1766)"
219807,"ES","Hipparchia genava (Fruhstorfer, 1908)"
219808,"ES","Melitaea deione (Geyer, 1832)"
219809,"ES","Melitaea varia Herrich-Schaeffer, 1851"
219810,"ES","Melitaea parthenoides Keferstein, 1851"
219811,"ES","Melitaea aurelia Nickerl, 1850"
219812,"ES","Melitaea athalia (Rottemburg, 1775)"
219815,"ES","Boloria euphrosyne (Linnaeus, 1758)"
219816,"ES","Boloria titania (Esper, 1793)"
219817,"ES","Boloria selene (Denis & Schiffermüller, 1775)"
219818,"ES","Boloria dia (Linnaeus, 1767)"
219819,"ES","Argynnis pandora (Denis & Schiffermüller, 1775)"
219824,"ES","Iphiclides feisthamelii (Duponchel, 1832)"
219826,"ES","Colias alfacariensis Ribbe, 1905"
219827,"ES","Euchloe simplonia (Freyer, 1829)"
219828,"ES","Euchloe insularis (Staudinger, 1861)"
219829,"ES","Anthocharis euphenoides Staudinger, 1869"
219830,"ES","Pieris mannii (Mayer, 1851)"
219831,"ES","Pieris rapae (Linnaeus, 1758)"
219832,"ES","Pieris ergane (Geyer, 1828)"
219833,"ES","Pieris napi (Linnaeus, 1758)"
219835,"ES","Leptidea reali Reissinger, 1990"
247035,"ES","Zygaena sarpedon (Hübner, 1790)"
247036,"ES","Zygaena contaminei Boisduval, 1834"
247037,"ES","Zygaena corsica Boisduval, 1828"
247038,"ES","Zygaena cynarae (Esper, 1789)"
247039,"ES","Zygaena brizae (Esper, 1800)"
247040,"ES","Zygaena erythrus (Hübner, 1806)"
247041,"ES","Zygaena minos (Denis & Schiffermüller, 1775)"
247042,"ES","Zygaena purpuralis (Brünnich, 1763)"
247043,"ES","Zygaena hilaris Ochsenheimer, 1808"
247044,"ES","Zygaena fausta (Linnaeus, 1767)"
247045,"ES","Zygaena carniolica (Scopoli, 1763)"
247046,"ES","Zygaena occitanica (Villers, 1789)"
247047,"ES","Zygaena loti (Denis & Schiffermüller, 1775)"
247048,"ES","Zygaena anthyllidis Boisduval, 1828"
247049,"ES","Zygaena rhadamanthus (Esper, 1789)"
247050,"ES","Zygaena exulans (Hohenwarth, 1792)"
247051,"ES","Zygaena nevadensis Rambur, 1858"
247052,"ES","Zygaena romeo Duponchel, 1835"
247053,"ES","Zygaena osterodensis Reiss, 1921"
247054,"ES","Zygaena viciae (Denis & Schiffermüller, 1775)"
247055,"ES","Zygaena lavandulae (Esper, 1783)"
247056,"ES","Zygaena ephialtes (Linnaeus, 1767)"
247057,"ES","Zygaena transalpina (Esper, 1780)"
247058,"ES","Zygaena filipendulae (Linnaeus, 1758)"
247059,"ES","Zygaena lonicerae (Scheven, 1777)"
247060,"ES","Zygaena trifolii (Esper, 1783)"
247061,"ES","Aglaope infausta (Linnaeus, 1767)"
247062,"ES","Adscita alpina (Alberti, 1937)"
247063,"ES","Adscita statices (Linnaeus, 1758)"
247064,"ES","Adscita geryon (Hübner, 1813)"
247066,"ES","Adscita mannii (Lederer, 1853)"
247067,"ES","Jordanita budensis (Ad. Speyer & Au. Speyer, 1858)"
247068,"ES","Jordanita notata (Zeller, 1847)"
247069,"ES","Jordanita hispanica (Alberti, 1937)"
247070,"ES","Jordanita chloros (Hübner, 1813)"
247071,"ES","Jordanita globulariae (Hübner, 1793)"
247072,"ES","Jordanita subsolana (Staudinger, 1862)"
247073,"ES","Rhagades pruni (Denis & Schiffermüller, 1775)"
247074,"ES","Theresimima ampellophaga (Bayle-Barelle, 1809)"
253461,"ES","Colias tyche (Böber, 1812)"
253462,"ES","Colias aurorina Herrich-Schäffer, 1850"
265855,"ES","Carcharodus orientalis Reverdin, 1913"
265871,"ES","Polyommatus nivescens (Keferstein, 1851)"
265906,"ES","Chilades trochylus (Freyer, 1845)"
265963,"ES","Hipparchia wyssii (Christ, 1889)"
265986,"ES","Hypolimnas misippus (Linnaeus, 1764)"
342694,"SSES","Zygaena sarpedon carmencita Oberthür, 1910"
342695,"SSES","Zygaena sarpedon pictonorum Bernardi & Viette, 1959"
342696,"SSES","Zygaena sarpedon sarpedon (Hübner, 1790)"
342697,"SSES","Zygaena sarpedon xerophila Dujardin, 1956"
342698,"SSES","Zygaena sarpedon leuzensis Dujardin, 1956"
342701,"SSES","Zygaena contaminei contaminei Boisduval, 1834"
342710,"SSES","Zygaena cynarae goberti Le Charles, 1952"
342711,"SSES","Zygaena cynarae florianii Dujardin, 1965"
342712,"SSES","Zygaena cynarae vallettensis Reiss, 1958"
342713,"SSES","Zygaena cynarae turatii Standfuss, 1892"
342726,"SSES","Zygaena brizae vesubiana Le Charles, 1933"
342732,"SSES","Zygaena erythrus actae Burgeff, 1926"
342736,"SSES","Zygaena minos normanna Verity, 1922"
342738,"SSES","Zygaena minos viridescens Burgeff, 1926"
342741,"SSES","Zygaena purpuralis magnalpina Verity, 1922"
342742,"SSES","Zygaena purpuralis purpuralis (Brünnich, 1763)"
342761,"SSES","Zygaena hilaris galliae Oberthür, 1910"
342762,"SSES","Zygaena hilaris chrysophaea Le Charles in Lhomme, 1934"
342763,"SSES","Zygaena hilaris ononidis Millière, 1878"
342772,"SSES","Zygaena fausta junceae Oberthür, 1884"
342773,"SSES","Zygaena fausta fortunata Rambur, 1866"
342774,"SSES","Zygaena fausta fausta (Linnaeus, 1767)"
342778,"SSES","Zygaena fausta jucunda Meisner, 1818"
342779,"SSES","Zygaena fausta fina Burgeff, 1956"
342785,"SSES","Zygaena carniolica descimonti Lucas, 1959"
342786,"SSES","Zygaena carniolica magdalenae Abeille de Perrin, 1909"
342787,"SSES","Zygaena carniolica diniensis Herrich-Schäffer, 1852"
342788,"SSES","Zygaena carniolica moraulti Holik, 1938"
342789,"SSES","Zygaena carniolica virginea (O.F. Müller, 1766)"
342798,"SSES","Zygaena carniolica modesta Burgeff, 1914"
342812,"SSES","Zygaena occitanica occitanica (Villers, 1789)"
342813,"SSES","Zygaena occitanica praematura Przegendza, 1932"
342850,"SSES","Zygaena rhadamanthus rhadamanthus (Esper, 1789)"
342851,"SSES","Zygaena rhadamanthus grisea Oberthür, 1909"
342853,"SSES","Zygaena rhadamanthus stygia Burgeff, 1914"
342854,"SSES","Zygaena exulans pyrenaica Burgeff, 1926"
342857,"SSES","Zygaena exulans exulans (Hohenwarth, 1792)"
342862,"SSES","Zygaena nevadensis interrupta Boursin, 1923"
342863,"SSES","Zygaena nevadensis gallica Oberthür, 1898"
342869,"SSES","Zygaena romeo megorion Burgeff, 1926"
342887,"SSES","Zygaena viciae nobilis Navás, 1924"
342893,"SSES","Zygaena viciae viciae (Denis & Schiffermüller, 1775)"
342895,"SSES","Zygaena viciae charon (Hübner, 1796)"
342946,"SSES","Zygaena transalpina hippocrepidis (Hübner, 1799)"
342953,"SSES","Zygaena transalpina transalpina (Esper, 1780)"
343023,"SSES","Zygaena trifolii trifolii (Esper, 1783)"
343031,"SSES","Adscita statices statices (Linnaeus, 1758)"
343044,"SSES","Jordanita budensis budensis (Ad. Speyer & Au. Speyer, 1858)"
343051,"SSES","Jordanita chloros chloros (Hübner, 1813)"
392262,"ES","Aricia montensis Verity, 1928"
392335,"ES","Erebia rondoui Oberthür, 1908"
416800,"SSES","Erebia euryale phoreta Fruhstorfer, 1918"
416802,"SSES","Erebia pronoe glottis Fruhstorfer, 1920"
416999,"ES","Papilio phorbanta Linnaeus, 1771"
417000,"ES","Antanartia borbonica (Oberthür, 1879)"
417001,"ES","Salamis augustina Boisduval, 1833"
417003,"GN","Antanartia Rothschild & Jordan, 1903"
